Modelo,Sabor,Precio,Estado,URL
"BLVK JUST JUICE 45K","STRAWBERRY KIWI","11,00","En stock","https://italiashop.com.py/product/blvk-just-juice-45k-strawberry-kiwi/"
"BLVK JUST JUICE 45K","STRAWBERRY MANGO","11,00","En stock","https://italiashop.com.py/product/blvk-just-juice-45k-strawberry-mango/"
"BLVK JUST JUICE 45K","STRAWBERRY WATERM","11,00","En stock","https://italiashop.com.py/product/blvk-just-juice-45k-strawberry-waterm/"
"BLVK JUST JUICE 45K","WATERMELON ICE","11,00","En stock","https://italiashop.com.py/product/blvk-just-juice-45k-watermelon-ice/"
"EBCREATE BC PRO 40K","AURORA BERRIES","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-aurora-berries/"
"EBCREATE BC PRO 40K","BLACK MINT","7,50","Agotado","https://italiashop.com.py/product/ebcreate-bc-pro-40k-black-mint/"
"EBCREATE BC PRO 40K","BLACKBERRY GRAPE","8,25","Agotado","https://italiashop.com.py/product/ebcreate-bc-pro-40k-blackberry-grape/"
"EBCREATE BC PRO 40K","BLUE RAZZ ICE","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-blue-razz-ice/"
"EBCREATE BC PRO 40K","GOLDEN BERRY","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-golden-berry/"
"EBCREATE BC PRO 40K","GRAPE TWIST","8,25","Agotado","https://italiashop.com.py/product/ebcreate-bc-pro-40k-grape-twist/"
"EBCREATE BC PRO 40K","PINEAPPLE POM","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-pineapple-pom/"
"EBCREATE BC PRO 40K","SOUR FCUKING FAB","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-sour-fcuking-fab/"
"EBCREATE BC PRO 40K","STRAWBERRY BLEND","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-strawberry-blend/"
"EBCREATE BC PRO 40K","STRAWBERRY KIWI","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-strawberry-kiwi/"
"EBCREATE BC PRO 40K","STRAWBERRY RASPB FRO","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-strawberry-raspb-fro/"
"EBCREATE BC PRO 40K","TOASTED PINEAPPLE","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-toasted-pineapple/"
"EBCREATE BC PRO 40K","TRIPLE BERRY","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-triple-berry/"
"EBCREATE BC PRO 40K","TROPICAL BAJA","7,50","Agotado","https://italiashop.com.py/product/ebcreate-bc-pro-40k-tropical-baja/"
"EBCREATE BC PRO 40K","WATERMELON ICE","7,50","Agotado","https://italiashop.com.py/product/ebcreate-bc-pro-40k-watermelon-ice/"
"EBCREATE BC PRO 40K","WATERMELON PEACH FRO","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-watermelon-peach-fro/"
"EBCREATE BC PRO 40K","WINTER MINT","7,50","En stock","https://italiashop.com.py/product/ebcreate-bc-pro-40k-winter-mint/"
"ELFBAR 40K ICE KING","AMERICANO ICE","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-americano-ice/"
"ELFBAR 40K ICE KING","BAJA SPLASH","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-baja-splash/"
"ELFBAR 40K ICE KING","BLUE RAZZ ICE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-blue-razz-ice/"
"ELFBAR 40K ICE KING","BLUEBERRY ICE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-blueberry-ice/"
"ELFBAR 40K ICE KING","BUBALOO TUTTI FRUIT","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-bubaloo-tutti-fruit/"
"ELFBAR 40K ICE KING","CHERRY FUSE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-cherry-fuse/"
"ELFBAR 40K ICE KING","CHERRY STRAZZ","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-cherry-strazz/"
"ELFBAR 40K ICE KING","CRANBERRY PINEAPPLE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-cranberry-pineapple/"
"ELFBAR 40K ICE KING","DOUBLE APPLE","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-double-apple/"
"ELFBAR 40K ICE KING","DRAGON STRAWNANA","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-dragon-strawnana/"
"ELFBAR 40K ICE KING","GRAPE ICE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-grape-ice/"
"ELFBAR 40K ICE KING","GREEN APPLE","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-green-apple/"
"ELFBAR 40K ICE KING","MANGO MAGIC","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-mango-magic/"
"ELFBAR 40K ICE KING","MELON GRAPE MENTHOL","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-melon-grape-menthol/"
"ELFBAR 40K ICE KING","MIAMI MINT","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-miami-mint/"
"ELFBAR 40K ICE KING","PEACH +","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-peach/"
"ELFBAR 40K ICE KING","PEACH MANGO WATER","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-peach-mango-water/"
"ELFBAR 40K ICE KING","SCARRY BERRY","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-scarry-berry/"
"ELFBAR 40K ICE KING","SOUR APPLE ICE","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-sour-apple-ice/"
"ELFBAR 40K ICE KING","SOUR LUSH GUMMY","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-sour-lush-gummy/"
"ELFBAR 40K ICE KING","SOUR STRAW DRAGON","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-sour-straw-dragon/"
"ELFBAR 40K ICE KING","STRAWBERRY ICE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-strawberry-ice/"
"ELFBAR 40K ICE KING","STRAWBERRY WATERMELON","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-strawberry-watermelon/"
"ELFBAR 40K ICE KING","SUMER SPLASH","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-sumer-splash/"
"ELFBAR 40K ICE KING","SUMMER GREEN APPLE SLUHS","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-ice-king-summer-green-apple-sluhs/"
"ELFBAR 40K ICE KING","TIGERS BLOOD","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-tigers-blood/"
"ELFBAR 40K ICE KING","WATERMELON ICE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-ice-king-watermelon-ice/"
"ELFBAR 40K SWEET KING","BLUE RAZZ B-POP","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-blue-razz-b-pop/"
"ELFBAR 40K SWEET KING","BUBBALO GRAPE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-bubbalo-grape/"
"ELFBAR 40K SWEET KING","BUBBALO TUTTIF","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-bubbalo-tuttif/"
"ELFBAR 40K SWEET KING","LEMON HEADS","10,50","Agotado","https://italiashop.com.py/product/elfbar-40k-sweet-king-lemon-heads/"
"ELFBAR 40K SWEET KING","RASPBERRY ORANGE","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-raspberry-orange/"
"ELFBAR 40K SWEET KING","TRIPLE BERRY","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-triple-berry/"
"ELFBAR 40K SWEET KING","WATERMELON ROLL UP","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-watermelon-roll-up/"
"ELFBAR 40K SWEET KING","WINTERGREEN SAVERS","10,50","En stock","https://italiashop.com.py/product/elfbar-40k-sweet-king-wintergreen-savers/"
"ELFBAR 40K TRIO","BLACK MINT","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-black-mint/"
"ELFBAR 40K TRIO","BLUE RAZZ ICE","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-blue-razz-ice/"
"ELFBAR 40K TRIO","BLUEBERRY POM SLUSHY","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-blueberry-pom-slushy/"
"ELFBAR 40K TRIO","COOL MENTHOL","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-cool-menthol/"
"ELFBAR 40K TRIO","LA GRAPE","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-la-grape/"
"ELFBAR 40K TRIO","ORANGE BLAST","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-orange-blast/"
"ELFBAR 40K TRIO","PEACH TWIST","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-peach-twist/"
"ELFBAR 40K TRIO","PINEAPPLE LIME","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-pineapple-lime/"
"ELFBAR 40K TRIO","POMEGRANATE BLAST","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-pomegranate-blast/"
"ELFBAR 40K TRIO","RASPBERRY WATERMELON","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-raspberry-watermelon/"
"ELFBAR 40K TRIO","SAKURA GRAPE","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-sakura-grape/"
"ELFBAR 40K TRIO","SCARY BERRY","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-scary-berry/"
"ELFBAR 40K TRIO","SOUR STRAWBERRY DRAGON","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-sour-strawberry-dragon/"
"ELFBAR 40K TRIO","STRAWBERRY ORANGE L","10,25","En stock","https://italiashop.com.py/product/elfbar-40k-trio-sour-strawberry-orange-l/"
"ELFBAR 40K TRIO","WATERMELON ICE","10,25","Agotado","https://italiashop.com.py/product/elfbar-40k-trio-watermelon-ice/"
"ELFBAR BC 15K","AMERICANO ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-americano-ice/"
"ELFBAR BC 15K","BLUE RAZZ ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-blue-razz-ice/"
"ELFBAR BC 15K","BLUEBERRY ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-blueberry-ice/"
"ELFBAR BC 15K","BUBBA GRAPE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-bubba-grape/"
"ELFBAR BC 15K","ELF LOVE","7,00","Agotado","https://italiashop.com.py/product/elfbar-bc-15k-elf-love/"
"ELFBAR BC 15K","GREEN APPLE ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-green-apple-ice/"
"ELFBAR BC 15K","ICY MINT","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-icy-mint/"
"ELFBAR BC 15K","KIWI PASS GUAVA","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-kiwi-pass-guava/"
"ELFBAR BC 15K","MANGO MAGIC","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-mango-magic/"
"ELFBAR BC 15K","MIAMI MINT","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-miami-mint/"
"ELFBAR BC 15K","PASSION FRUIT GRANGE GUAVA","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-passion-fruit-grange-guava/"
"ELFBAR BC 15K","PEACH MANGO WATERMELON","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-peach-mango-watermelon/"
"ELFBAR BC 15K","PINEAPPLE ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-pineapple-ice/"
"ELFBAR BC 15K","SAKURA GRAPE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-sakura-grape/"
"ELFBAR BC 15K","SOUR APPLE ICE","7,00","Agotado","https://italiashop.com.py/product/elfbar-bc-15k-sour-apple-ice/"
"ELFBAR BC 15K","STRAWBERRY ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-strawberry-ice/"
"ELFBAR BC 15K","STRAWBERRY KIWI","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-strawberry-kiwi/"
"ELFBAR BC 15K","STRAWBERRY WATER","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-strawberry-water/"
"ELFBAR BC 15K","TROPICAL LEMONADE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-tropical-lemonade/"
"ELFBAR BC 15K","WATERMELON ICE","7,00","En stock","https://italiashop.com.py/product/elfbar-bc-15k-watermelon-ice/"
"ELFBAR BC 45K PRO","AMERICANO ICE","12,00","En stock","https://italiashop.com.py/product/elfbar-bc-45k-pro-americano-ice/"
"ELFBAR BC 45K PRO","BLUEBERRY STRAWBERRY COCONUT ICE","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-blueberry-strawberry-coconut-ice/"
"ELFBAR BC 45K PRO","GRAPE ICE","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-grape-ice/"
"ELFBAR BC 45K PRO","GRAPE TWIST","12,50","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-grape-twist/"
"ELFBAR BC 45K PRO","GREEN APPLE ICE","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-green-apple-ice/"
"ELFBAR BC 45K PRO","MANGO MAGIC","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-mango-magic/"
"ELFBAR BC 45K PRO","MIAMI MINT","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-miami-mint/"
"ELFBAR BC 45K PRO","PINEAPPLE POM","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-pineapple-pom/"
"ELFBAR BC 45K PRO","STRAWBERRY ICE","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-strawberry-ice/"
"ELFBAR BC 45K PRO","STRAWBERRY KIWI","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-strawberry-kiwi/"
"ELFBAR BC 45K PRO","TROPICAL BAJA","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-tropical-baja/"
"ELFBAR BC 45K PRO","WATERMELON ICE","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-watermelon-ice/"
"ELFBAR BC 45K PRO","WATERMELON PEACH FROST","12,00","Agotado","https://italiashop.com.py/product/elfbar-bc-45k-pro-watermelon-peach-frost/"
"ELFBAR DISP TE30K 5%","ACAI BANANA ICE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-acai-banana-ice/"
"ELFBAR DISP TE30K 5%","BANANA COCONUT ICE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-banana-coconut-ice/"
"ELFBAR DISP TE30K 5%","BLUEBERRY ICE","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-blueberry-ice/"
"ELFBAR DISP TE30K 5%","BLUEBERRY SOUR","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-blueberry-sour/"
"ELFBAR DISP TE30K 5%","BUBBALOO GRAPE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-bubbaloo-grape/"
"ELFBAR DISP TE30K 5%","BUBBALOO TUTTI","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-bubbaloo-tutti/"
"ELFBAR DISP TE30K 5%","CHERRY STRAZZ","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-cherry-strazz/"
"ELFBAR DISP TE30K 5%","DRAGON STRAWNA","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-dragon-strawna/"
"ELFBAR DISP TE30K 5%","ELF LOVE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-elf-love/"
"ELFBAR DISP TE30K 5%","GREEN APPLE ICE","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-green-apple-ice/"
"ELFBAR DISP TE30K 5%","GUAVA PASSION FRUIT KIWI","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-guava-passion-fruit-kiwi/"
"ELFBAR DISP TE30K 5%","MENTHOL","10,00","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-menthol/"
"ELFBAR DISP TE30K 5%","MIAMI MINT","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-miami-mint/"
"ELFBAR DISP TE30K 5%","PEACH MANGO WATER","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-peach-mango-water/"
"ELFBAR DISP TE30K 5%","PINEAPPLE ICE","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-pineapple-ice/"
"ELFBAR DISP TE30K 5%","PINEAPPLE MANGO","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-pineapple-mango/"
"ELFBAR DISP TE30K 5%","SOUR LUSH GAMI","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-sour-lush-gami/"
"ELFBAR DISP TE30K 5%","STRAWBERRY ICE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-strawberry-ice/"
"ELFBAR DISP TE30K 5%","STRAWBERRY WATERMELON ICE","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-strawberry-watermelon-ice/"
"ELFBAR DISP TE30K 5%","STRAWMELON PEACH","9,75","En stock","https://italiashop.com.py/product/elfbar-disp-te30k-5-strawmelon-peach/"
"ELFBAR DISP TE30K 5%","WATERMELON ICE","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-watermelon-ice/"
"ELFBAR DISP TE30K 5%","WINTER MINT","9,75","Agotado","https://italiashop.com.py/product/elfbar-disp-te30k-5-winter-mint/"
"ELFBAR DUKE 35K","BLUE RAZZ ICE","9,85","En stock","https://italiashop.com.py/product/elfbar-duke-35k-blue-razz-ice/"
"ELFBAR DUKE 35K","BLUEBERRY ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k/"
"ELFBAR DUKE 35K","BUBBALOO TUTTI FRUTTI","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-2/"
"ELFBAR DUKE 35K","COCONUT STRAW","9,85","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-coconut-straw/"
"ELFBAR DUKE 35K","FANTA GRAPE","9,85","En stock","https://italiashop.com.py/product/elfbar-duke-35k-fanta-grape/"
"ELFBAR DUKE 35K","GRAPE ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-grape-ice/"
"ELFBAR DUKE 35K","ICY MINT","9,85","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-icy-mint/"
"ELFBAR DUKE 35K","KIWI PASS GUAVA","9,50","En stock","https://italiashop.com.py/product/elfbar-duke-35k-kiwi-pass-guava/"
"ELFBAR DUKE 35K","MANGO MAGIC","9,85","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-mango-magic/"
"ELFBAR DUKE 35K","PEACH MANGO WATER","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-peach-mango-water/"
"ELFBAR DUKE 35K","PINEAPPLE ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-pineapple-ice/"
"ELFBAR DUKE 35K","STRAW KIWI","9,85","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-straw-kiwi/"
"ELFBAR DUKE 35K","WATERMELON ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-duke-35k-watermelon-ice/"
"ELFBAR DUKE 35K","WATERMELON LEMON","9,85","En stock","https://italiashop.com.py/product/elfbar-duke-35k-watermelon-lemon/"
"ELFBAR GH 23000","APPLE PEAR","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-apple-pear/"
"ELFBAR GH 23000","BLUE RAZZ ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-blue-razz-ice/"
"ELFBAR GH 23000","BLUEBERRY PEAR","9,50","En stock","https://italiashop.com.py/product/elfbar-gh-23000-blueberry-pear/"
"ELFBAR GH 23000","GRAPE ICE","9,50","En stock","https://italiashop.com.py/product/elfbar-gh-23000-grape-ice/"
"ELFBAR GH 23000","KIWI DRAGON FRUIT","9,50","En stock","https://italiashop.com.py/product/elfbar-gh-23000-kiwi-dragon-fruit/"
"ELFBAR GH 23000","LIME GRAPEFRUIT ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-lime-grapefruit-ice/"
"ELFBAR GH 23000","MIAMI MINT","9,50","En stock","https://italiashop.com.py/product/elfbar-gh-23000-miami-mint/"
"ELFBAR GH 23000","PEACH MANGO WATERMELON","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-peach-mango-watermelon/"
"ELFBAR GH 23000","PINEAPPLE PLUMS LIME MINT","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-pineapple-plums-lime-mint/"
"ELFBAR GH 23000","SAKURA GRAPE","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-sakura-grape/"
"ELFBAR GH 23000","STRAWBERRY BANANA","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-strawberry-banana/"
"ELFBAR GH 23000","STRAWBERRY ICE","9,50","En stock","https://italiashop.com.py/product/elfbar-gh-23000-strawberry-ice/"
"ELFBAR GH 23000","WATERMELON ICE","9,50","Agotado","https://italiashop.com.py/product/elfbar-gh-23000-watermelon-ice/"
